graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,6,5,0.0008386936348819005,0.0019915358033370375,{'footway': 5},"[(118.76572314, 31.92226416), (118.7664939, 31.92259482)]"
2,7,6,0.00013915481486330452,0.0011681518709424701,{'footway': 6},"[(118.83176478, 32.04792378), (118.83169458, 32.04780363)]"
3,6,5,9.222049283853655e-05,0.0004694763163213437,{'footway': 5},"[(118.76676678, 32.07329312), (118.76670666, 32.07336305)]"
4,8,7,6.326769555004238e-05,0.0022695698858193106,{'footway': 7},"[(118.7629362, 32.03812179), (118.76291622, 32.03818182)]"
5,6,5,5.393344045356522e-05,0.0006722387402696677,{'footway': 5},"[(118.80770094, 32.115096), (118.80775098, 32.11511612)]"
6,6,5,0.0003280144051796761,0.0008680844286651786,{'footway': 5},"[(118.82283822, 32.03256461), (118.8231588, 32.03249517)]"
7,6,5,0.00011060844498201171,0.0005736300308528195,{'footway': 5},"[(118.75715658, 32.05362681), (118.75704642, 32.05363676)]"
8,8,7,0.00013922860373693518,0.003102103309410124,"{'secondary': 3, 'footway': 4}","[(118.7621028, 32.02828574), (118.76197284, 32.02833569)]"
9,11,11,9.056272080683717e-05,0.0025702400482341373,"{'footway': 7, 'tertiary': 4}","[(118.81388358, 31.89041703), (118.8138735, 31.89050703)]"
10,6,5,0.0004183711390562495,0.001652856418227425,{'footway': 5},"[(118.79803062, 32.13946485), (118.79834112, 32.13974525)]"
11,6,5,3.006002661370839e-05,0.0002465735332232134,{'footway': 5},"[(118.8382473, 32.05367654), (118.83827736, 32.05367658)]"
12,6,5,0.0002643742455340914,0.001146879158125081,{'footway': 5},"[(118.79763012, 32.13917429), (118.79784036, 32.13933458)]"
13,7,6,6.705525482764905e-05,0.0009629575028330629,{'footway': 6},"[(118.86217434, 32.05089725), (118.86223428, 32.05092731)]"
14,6,5,0.00013030200497605586,0.0007876980042312298,{'footway': 5},"[(118.81962828, 32.0669064), (118.81955826, 32.06701629)]"
15,6,5,8.078757145263633e-05,0.0007390827966384519,{'footway': 5},"[(118.82170278, 32.0646996), (118.82174292, 32.06476971)]"
16,6,5,5.104515647917699e-05,0.0005576779980586365,{'footway': 5},"[(118.8378468, 32.05019507), (118.83785688, 32.05024511)]"
17,8,7,8.000999999779879e-05,0.0012426455772865583,"{'footway': 3, 'tertiary': 4}","[(118.77730722, 31.99852071), (118.77730722, 31.99860072)]"
18,6,5,0.00015521991882749096,0.000833248903815887,{'footway': 5},"[(118.74454218, 32.06349675), (118.74458232, 32.06334681)]"
19,7,6,0.0004965668382011352,0.002343581668041198,{'footway': 6},"[(118.78002756, 31.98879815), (118.78023798, 31.98834837)]"
20,6,5,0.00015278095431299095,0.000795832943657261,{'footway': 5},"[(118.86877296, 32.04593397), (118.86885306, 32.04606407)]"
21,9,9,0.000177185932852302,0.003116301872320172,{'footway': 9},"[(118.74420126, 32.06501631), (118.74415104, 32.06518623)]"
22,7,6,5.4081912866895024e-05,0.000691146362422168,{'footway': 6},"[(118.84266216, 32.09168259), (118.84271238, 32.09170266)]"
23,12,11,0.00017040077581095998,0.001450760467353038,{'footway': 11},"[(118.79138862, 32.04585446), (118.79155872, 32.04586458)]"
24,12,14,0.00043364590497095134,0.00419285755765404,"{'footway': 13, 'tertiary': 1}","[(118.8369567, 32.03275968), (118.83681648, 32.03234933)]"
25,6,5,0.00014143417444341576,0.0008529941246911446,{'footway': 5},"[(118.868823, 32.0481545), (118.86880284, 32.04829449)]"
26,7,6,3.605274608656432e-05,0.0006839563288683178,"{'secondary': 2, 'footway': 4}","[(118.73640996, 32.06491479), (118.73638998, 32.06488478)]"
27,6,5,0.00014144544425792962,0.00037880088918474964,{'footway': 5},"[(118.77172578, 32.01467427), (118.77186582, 32.01465438)]"
28,16,19,0.0005700702588275181,0.004912483281055531,"{'tertiary': 9, 'footway': 10}","[(118.78314696, 31.94405213), (118.78329726, 31.94350223)]"
29,6,5,0.00022600228317031003,0.0009407254976659618,{'footway': 5},"[(118.8167472, 32.02441241), (118.81652688, 32.02436205)]"
30,6,5,0.00018390197415910753,0.0009711473215638295,{'footway': 5},"[(118.83259674, 32.04541472), (118.83275694, 32.04550503)]"
31,8,7,0.0001238753474272461,0.0004958605407617246,{'footway': 7},"[(118.84159008, 32.09198081), (118.84171032, 32.09195102)]"
32,7,6,0.00017038785167970252,0.000974231526385412,{'footway': 6},"[(118.7569962, 32.05286627), (118.75712634, 32.05275629)]"
33,12,11,0.0003720411252812863,0.004535203567013202,{'footway': 11},"[(118.83624354, 32.05055232), (118.83609324, 32.05021199)]"
34,6,5,0.0001346695054540746,0.001221799270154261,{'footway': 5},"[(118.87194456, 32.07943575), (118.87204482, 32.07934584)]"
35,8,7,0.0001657228240154828,0.0008165205159480699,{'footway': 7},"[(118.7558253, 32.05258538), (118.7558955, 32.0527355)]"
36,6,5,3.160079271305943e-05,0.0001845964209257455,{'footway': 5},"[(118.75098114, 32.05004081), (118.75097124, 32.05007082)]"
37,11,12,0.0005416759966080966,0.006721785086041314,"{'tertiary': 5, 'footway': 7}","[(118.89074286, 32.05235525), (118.89020268, 32.05231502)]"
38,11,10,9.218028476721663e-05,0.001458198695397101,{'footway': 10},"[(118.7916291, 32.04689522), (118.7915391, 32.04691515)]"
39,10,9,8.053576845535007e-05,0.0008408974530269173,"{'secondary': 4, 'footway': 5}","[(118.78968942, 32.08839921), (118.78976934, 32.08838927)]"
40,6,5,0.00016492182541568882,0.0007844433817873287,{'footway': 5},"[(118.78863318, 32.03335566), (118.7887932, 32.03331575)]"
41,6,5,8.070947898855157e-05,0.0006662482774804283,{'footway': 5},"[(118.81245978, 32.0222651), (118.81237968, 32.022275)]"
42,7,6,9.22824468677353e-05,0.0007028982612941724,"{'footway': 5, 'tertiary': 1}","[(118.8609318, 32.05713708), (118.8608616, 32.05719698)]"
43,7,6,0.00010426138114955313,0.0008171047099771535,"{'tertiary': 2, 'footway': 4}","[(118.70063388, 32.17741412), (118.70053398, 32.17738428)]"
44,6,5,7.224696879517131e-05,0.0014359360568085484,{'footway': 5},"[(118.83365676, 32.06316033), (118.83361662, 32.06310026)]"
45,6,5,0.00010054654643405548,0.000522299049000204,{'footway': 5},"[(118.87671114, 32.07562029), (118.87670106, 32.07572033)]"
46,9,8,0.0002077299451145823,0.0016751387111499081,{'footway': 8},"[(118.70546004, 32.02398684), (118.70562978, 32.02410659)]"
47,8,7,8.06424609042638e-05,0.0011411822687521262,{'footway': 7},"[(118.81211022, 32.01518322), (118.81210014, 32.01526323)]"
48,8,7,0.00029996280636232487,0.001282262582060456,"{'footway': 5, 'tertiary': 2}","[(118.83822768, 32.04922554), (118.83795714, 32.0493551)]"
49,7,6,6.0967460994047346e-05,0.0004673801823678141,{'footway': 6},"[(118.80756018, 31.89374627), (118.80750006, 31.89373614)]"
50,6,5,0.00017115147443281639,0.0006742384863243178,{'footway': 5},"[(118.76322042, 32.07890898), (118.76324058, 32.07873902)]"
