graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,6,5,47.94093095672746,173.48458564937886,"{'footway': 3, None: 2}","[(668191.1809820584, 3535891.2074470688), (668144.6140556333, 3535902.60280684)]"
2,4,3,33.66049082623626,96.23068748363337,"{'tertiary': 2, 'footway': 1}","[(673331.2779582501, 3545921.159233311), (673363.6088712421, 3545911.7922323095)]"
3,5,5,5.629671075835909,211.6130153821681,"{'footway': 1, None: 3, 'secondary': 1}","[(671046.8245201097, 3547125.812597994), (671047.6832355865, 3547131.376392037)]"
4,4,3,53.089073138868734,125.9424528976631,"{None: 2, 'footway': 1}","[(673435.009742328, 3545888.752675731), (673383.6498726836, 3545902.1919270814)]"
5,5,5,28.863555437972128,193.4134282285335,"{'footway': 3, None: 2}","[(672860.7958610139, 3546922.7495155726), (672881.2614400549, 3546943.1030142163)]"
6,6,5,13.65343784084205,94.52188959636652,{'footway': 5},"[(668573.5091548893, 3535494.1287338044), (668586.692812195, 3535497.679444285)]"
7,4,4,34.35084990414026,206.73457777444582,"{'footway': 3, None: 1}","[(671533.1899750261, 3545674.0382214147), (671499.0496619316, 3545677.8355771983)]"
8,4,3,65.32205733613297,170.86385047356458,"{'footway': 2, None: 1}","[(674431.1484606372, 3544880.655496689), (674365.8691881387, 3544878.291653061)]"
9,4,3,44.37938100053775,87.19442249451664,"{'secondary': 2, 'footway': 1}","[(667526.4853608606, 3548997.3623887305), (667569.8083221205, 3549006.9879009593)]"
10,4,3,21.731450185518767,89.16076778752122,{'footway': 3},"[(662903.9595345365, 3548636.1253843163), (662882.2758590963, 3548634.685194547)]"
