graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,13,12,0.00041068553967055205,0.0021274574530211403,{'footway': 12},"[(118.80938412, 32.02410051), (118.8097947, 32.0240912)]"
2,11,10,3.614427340442012e-05,0.0007319242058188402,{'footway': 10},"[(118.83621528, 32.03217824), (118.83618522, 32.03215817)]"
3,9,8,0.00016409959080854414,0.0011632263725674865,"{'footway': 6, 'secondary': 2}","[(118.87643232, 32.05019426), (118.87633206, 32.05032417)]"
4,8,7,5.00040518321372e-05,0.001725794721265777,{'footway': 7},"[(118.7714205, 32.03196381), (118.77146046, 32.03199387)]"
5,11,10,0.0005633464693253855,0.0039545767753470865,{'footway': 10},"[(118.76564304, 32.01530207), (118.76618322, 32.01514218)]"
6,11,10,4.1206916892408696e-05,0.0009867537214852315,{'footway': 10},"[(118.86252408, 32.0593298), (118.86253398, 32.0593698)]"
7,8,7,0.00016641289613905888,0.0005500437740331644,{'footway': 7},"[(118.83890718, 32.06365965), (118.838817, 32.06379951)]"
8,14,13,0.00029052050185127284,0.0020465426705965524,"{'footway': 11, 'tertiary': 2}","[(118.8555804, 32.06229872), (118.85528988, 32.06229818)]"
9,11,10,0.00019652077854130415,0.0008905633146741412,{'footway': 10},"[(118.77460506, 32.0018697), (118.77479514, 32.0018198)]"
10,10,9,0.0003001106537550617,0.001682606373816646,"{'secondary': 4, 'footway': 5}","[(118.73824902, 32.07268625), (118.73809908, 32.07242628)]"
11,20,21,5.1037272645221124e-05,0.006343544449381713,"{'tertiary': 6, 'footway': 15}","[(118.77529608, 31.99814964), (118.77534612, 31.99815968)]"
12,13,12,0.00019427204121712734,0.0017584367556872339,{'footway': 12},"[(118.7545896, 32.03563505), (118.75439952, 32.03559491)]"
13,8,7,0.00013335969407077763,0.0015396078874282677,{'footway': 7},"[(118.77198624, 32.01585512), (118.77185628, 32.01588504)]"
14,8,7,0.0002040961334770451,0.0014268636406703505,{'footway': 7},"[(118.85612796, 32.09879763), (118.85608782, 32.09859752)]"
15,8,7,4.469454104977938e-05,0.0012458910406578016,{'footway': 7},"[(118.76070762, 32.04845618), (118.76074758, 32.0484762)]"
16,8,7,3.6066722890204094e-05,0.0003183054840260025,{'footway': 7},"[(118.83868686, 32.06293911), (118.83871692, 32.06291918)]"
