graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,8,7,0.00040232033506018355,0.001572813725447931,{'footway': 7},"[(118.76879592, 31.92708771), (118.7685657, 31.92741765)]"
2,15,15,9.05627208084189e-05,0.0015786398435435238,{'footway': 15},"[(118.80977472, 32.02377111), (118.8097848, 32.02386111)]"
3,12,11,0.00015652925124962628,0.0023704733030257908,"{'footway': 7, 'tertiary': 4}","[(118.77718662, 32.00091093), (118.77704658, 32.00098086)]"
4,9,8,0.00019132088752641258,0.0018744171170842286,"{'secondary': 2, 'footway': 3, 'tertiary': 3}","[(118.7525475, 32.03309228), (118.75235724, 32.03307216)]"
5,20,19,0.0022061239979699657,0.01235122173003829,"{'secondary': 11, 'tertiary': 6, 'footway': 2}","[(118.86335928, 31.77828126), (118.86517116, 31.77702266)]"
6,8,7,0.0002665260309888842,0.0013372151606509525,{'footway': 7},"[(118.74026124, 32.09652482), (118.7400015, 32.09646506)]"
7,8,7,5.651197395063112e-05,0.0006082969265341143,{'footway': 7},"[(118.86615954, 32.04853128), (118.86611958, 32.04857124)]"
8,9,8,0.00010196666367340824,0.0020832622633842448,{'footway': 8},"[(118.71517212, 32.10478362), (118.71515214, 32.10488361)]"
9,12,11,0.00011192526791678622,0.0037188165239918835,{'footway': 11},"[(118.85827626, 32.05909283), (118.8581661, 32.05911263)]"
10,8,7,5.38813696928148e-05,0.000675725714926167,{'footway': 7},"[(118.73987982, 32.0923224), (118.7398998, 32.09227236)]"
11,10,9,0.00018480098078894978,0.002807753485198439,{'footway': 9},"[(118.858923, 32.09788193), (118.85910336, 32.0979222)]"
12,16,15,0.0001431559317661585,0.0020360447225947413,{'footway': 15},"[(118.81078668, 31.8944322), (118.81072656, 31.89456212)]"
13,11,10,7.203891448098612e-05,0.001334680470351874,{'footway': 10},"[(118.76505048, 32.06510384), (118.76509044, 32.0650439)]"
14,7,6,0.00011199587358207376,0.000601633893646042,{'footway': 6},"[(118.86695064, 32.04891234), (118.86685038, 32.04896225)]"
15,12,11,0.00032582025596557143,0.002384403943647971,{'footway': 11},"[(118.75111128, 32.04993083), (118.75142142, 32.04983097)]"
16,13,12,4.251125968532553e-05,0.0012092200951126248,{'footway': 12},"[(118.81561734, 31.89006014), (118.81558728, 31.89003008)]"
17,8,7,0.0002522260018426663,0.0012873327024543711,{'footway': 7},"[(118.85190336, 32.061182), (118.85215374, 32.06121246)]"
18,8,7,0.00010647550186985676,0.0008967299775576097,{'footway': 7},"[(118.82290914, 32.02358274), (118.82282904, 32.02351259)]"
19,8,7,0.0002829813315384805,0.002102041877767388,{'footway': 7},"[(118.79843544, 32.09551673), (118.79847558, 32.09579685)]"
20,8,7,8.480332363541277e-05,0.0008171923754934263,{'footway': 7},"[(118.74860028, 32.05301094), (118.74854034, 32.05307093)]"
21,8,7,4.004999999551728e-05,0.00036303222625215796,{'footway': 7},"[(118.79291952, 32.0453852), (118.79291952, 32.04534515)]"
22,14,13,0.0009972326528910986,0.005328786521088282,"{'secondary': 5, 'footway': 8}","[(118.76384592, 32.03461044), (118.76361606, 32.03558082)]"
