graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,11,10,5.409676977724011e-05,0.00048742784009740946,{'footway': 10},"[(118.82423736, 32.06734457), (118.82428758, 32.06736468)]"
2,10,9,0.00025182057898718473,0.0025140006720337183,{'footway': 9},"[(118.86134274, 32.05550745), (118.8613728, 32.05525743)]"
3,17,19,0.0002830053541943901,0.005517955127867271,{'footway': 19},"[(118.81790802, 32.03466633), (118.81786806, 32.03438616)]"
4,13,12,0.00044160629342894416,0.00255525657840225,{'footway': 12},"[(118.74233682, 32.08421754), (118.74243654, 32.08378734)]"
5,10,9,5.383493754311206e-05,0.0004466039833809918,{'footway': 9},"[(118.76669658, 32.07349301), (118.76671656, 32.073543)]"
6,8,7,7.091999999554585e-05,0.0005647708381292265,{'footway': 7},"[(118.86402654, 32.05156955), (118.86409674, 32.05157963)]"
7,8,7,9.060247236990881e-05,0.000790071540518479,{'footway': 7},"[(118.85898798, 32.05665356), (118.85899806, 32.0567436)]"
8,8,7,0.00011415091765461284,0.0005183689377038914,{'footway': 7},"[(118.76885028, 32.07106557), (118.76896044, 32.07103565)]"
9,10,9,0.00011411691242393448,0.0009177225408773869,{'footway': 9},"[(118.828377, 32.05733985), (118.82826684, 32.05736964)]"
10,8,7,9.48178548598758e-05,0.0008975960718605708,{'footway': 7},"[(118.7941266, 32.02517624), (118.7942166, 32.0251464)]"
11,8,7,6.415336935520649e-05,0.0004953095354657371,{'footway': 7},"[(118.8239166, 32.06839424), (118.82396682, 32.06835432)]"
12,8,7,0.00022575566703585107,0.001651678766267922,{'footway': 7},"[(118.7912709, 32.05431914), (118.79122086, 32.054099)]"
13,11,10,7.61630093937426e-05,0.0014549713008274925,"{'secondary': 6, 'footway': 4}","[(118.82779686, 32.04706658), (118.82782692, 32.0469966)]"
14,8,7,0.0001301401244772732,0.0008175518609469302,{'footway': 7},"[(118.86247386, 32.06034999), (118.86234372, 32.06034981)]"
15,9,8,0.00010207257858534682,0.0014132471443977779,{'footway': 8},"[(118.76352444, 32.03013771), (118.76342436, 32.03011764)]"
16,10,9,4.9990000000832424e-05,0.00102335997859739,{'footway': 9},"[(118.7648595, 32.06607341), (118.7648595, 32.0661234)]"
17,8,7,5.829756513336516e-05,0.00042975666818395554,{'footway': 7},"[(118.86243462, 32.05050746), (118.86240456, 32.05055741)]"
18,22,28,0.00019244222509222833,0.00991598514071889,"{'footway': 27, 'tertiary': 1}","[(118.81647522, 32.03561408), (118.81650528, 32.03580416)]"
19,8,7,0.00013003617227469338,0.0006721805081746237,{'footway': 7},"[(118.78185906, 31.99678182), (118.78197912, 31.99673187)]"
20,8,7,0.00015008427632556658,0.0009035744593930404,{'footway': 7},"[(118.82530098, 32.05453379), (118.82542122, 32.05444397)]"
21,12,11,8.041916748775843e-05,0.0019008210305449063,{'footway': 11},"[(118.7078355, 32.02471319), (118.70790534, 32.02475306)]"
22,12,11,0.00027680765253278714,0.0031577032834094665,{'footway': 11},"[(118.79576172, 32.09390307), (118.79549154, 32.09384286)]"
23,8,7,0.0001100536323837251,0.0006718945125276573,{'footway': 7},"[(118.66939506, 32.12203068), (118.66928544, 32.12202092)]"
24,5,4,0.00019145724770510184,0.0003271044888379473,{'footway': 4},"[(118.81096704, 32.02331292), (118.8107766, 32.02333263)]"
25,11,10,5.837469657748924e-05,0.000707844983545343,{'footway': 10},"[(118.76386446, 32.02966764), (118.7639145, 32.0296977)]"
26,12,11,0.00021958250499807551,0.0017038174087837046,"{'secondary': 2, 'footway': 9}","[(118.8281169, 32.05322847), (118.82820708, 32.05342868)]"
27,9,8,0.0005302999258020566,0.0034016160502432567,"{'secondary': 1, 'footway': 3, 'tertiary': 4}","[(118.75496382, 31.96363779), (118.75549374, 31.96361772)]"
28,8,7,3.6122077737662015e-05,0.00046376218398401254,{'footway': 7},"[(118.86498702, 32.06083302), (118.86501708, 32.06085305)]"
29,2,1,0.00033269163259831,0.00033269163259831,{'footway': 1},"[(118.78113744, 32.03191004), (118.78080714, 32.03194986)]"
30,7,6,0.0006479316733214092,0.003826320534069783,{'footway': 6},"[(118.82205396, 32.058999), (118.82258514, 32.05937003)]"
31,9,8,0.0001627931411420261,0.0012243983647115062,{'footway': 8},"[(118.77239646, 32.01512499), (118.77255648, 32.01509507)]"
32,8,7,7.072906405007832e-05,0.0006215983065449712,{'footway': 7},"[(118.76499288, 32.0146317), (118.7650629, 32.01462171)]"
33,8,7,0.00010823333543826906,0.0005704720993294697,{'footway': 7},"[(118.82604096, 32.06742777), (118.82613114, 32.06736792)]"
34,15,14,0.00018406265916220946,0.003586300560446414,"{'footway': 8, 'secondary': 6}","[(118.85664528, 32.04329684), (118.85657508, 32.04312669)]"
35,8,7,0.00015656947978072105,0.0007523534561622002,{'footway': 7},"[(118.75045212, 32.05463306), (118.75052214, 32.05449302)]"
36,8,7,3.614427340442012e-05,0.00033416640149727206,{'footway': 7},"[(118.82431764, 32.0672547), (118.8243477, 32.06727477)]"
37,14,13,0.0003374640940900465,0.0028214907509878195,{'footway': 13},"[(118.763334, 32.02953723), (118.76340402, 32.02920711)]"
38,8,7,3.996003127645029e-05,0.00046093145401819276,{'footway': 7},"[(118.73379258, 32.07239919), (118.73375262, 32.07239924)]"
39,11,10,0.00035086484706280054,0.0013003217012657806,{'footway': 10},"[(118.74737952, 32.0534204), (118.7477298, 32.05344065)]"
40,16,15,9.911520014224478e-05,0.002880008630075425,{'footway': 15},"[(118.82790612, 32.05574865), (118.8278361, 32.0556785)]"
41,14,14,0.0001711345333335241,0.0032679525188659226,"{'footway': 12, 'tertiary': 2}","[(118.860651, 32.05868688), (118.86081138, 32.05862717)]"
42,13,12,0.000760775709666888,0.002379292354680138,"{'tertiary': 4, 'footway': 6, 'secondary': 2}","[(118.78169526, 31.94580119), (118.78093476, 31.94578071)]"
43,9,8,0.0007436053171469678,0.0020723699334165803,"{'footway': 5, 'tertiary': 3}","[(118.77197328, 32.00271845), (118.77123294, 32.00278806)]"
44,11,11,5.105505360950508e-05,0.003715886161513396,"{'footway': 7, 'tertiary': 4}","[(118.81772604, 31.94662568), (118.817676, 31.94661555)]"
45,8,7,0.00017496465729071255,0.0012364517770686093,{'footway': 7},"[(118.86359616, 32.04940851), (118.86344604, 32.04949838)]"
46,8,7,0.00011016014705003704,0.00046500325615470364,{'footway': 7},"[(118.84077846, 32.09134919), (118.8406683, 32.09134901)]"
47,10,9,7.211381628814116e-05,0.0011388907063128479,{'footway': 9},"[(118.75792734, 32.05905921), (118.75788738, 32.05899918)]"
48,5,4,0.00017141692593525664,0.0005056321343118881,{'footway': 4},"[(118.8219843, 32.05435784), (118.82181402, 32.05437755)]"
49,11,10,0.0002998605110708005,0.003655091959929993,"{'footway': 6, 'tertiary': 4}","[(118.91185974, 32.08898475), (118.91156004, 32.08897494)]"
50,19,18,0.0007222213956865089,0.00694360257396884,{'footway': 18},"[(118.83609324, 32.05021199), (118.83540186, 32.05042079)]"
51,8,7,0.0001500480043190425,0.001628493675486339,{'footway': 7},"[(118.80340128, 32.06039036), (118.80328122, 32.06048036)]"
52,8,7,0.00011003014723434611,0.0009341290682946791,{'footway': 7},"[(118.79814222, 32.04146633), (118.79814204, 32.0413563)]"
53,8,7,3.1676548108395266e-05,0.0007129513358668629,{'footway': 7},"[(118.77667236, 32.06044319), (118.77670242, 32.0604332)]"
54,8,7,3.9959999995176076e-05,0.00021218851144436704,{'footway': 7},"[(118.72331298, 32.05565321), (118.72335294, 32.05565321)]"
55,8,7,0.00010820538295505048,0.001086355750448529,{'footway': 7},"[(118.75659606, 32.05352637), (118.75650606, 32.0534663)]"
56,25,24,0.0005986941450384692,0.0046174991909240315,{'footway': 24},"[(118.8127476, 32.04274946), (118.81264752, 32.04215919)]"
